City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,maintirano,-18.0667,44.0167,27.3,77,100,1.38,MG,Wed Jan 31 19:45:54 2024
257,brownwood,31.7093,-98.9912,13.62,54,0,2.57,US,Wed Jan 31 19:45:02 2024
258,whitehorse,60.7161,-135.0538,-9.57,67,100,4.63,CA,Wed Jan 31 19:41:54 2024
259,bethanie,-26.4833,17.15,24.79,43,40,1.45,NA,Wed Jan 31 19:45:54 2024
260,labytnangi,66.6572,66.4183,-18.33,97,100,3.79,RU,Wed Jan 31 19:45:55 2024
261,malango,-2.9627,119.9001,28.97,60,95,1.13,ID,Wed Jan 31 19:45:55 2024
262,pacific grove,36.6177,-121.9166,14.68,89,100,3.58,US,Wed Jan 31 19:45:55 2024
263,iquique,-20.2208,-70.1431,22.02,78,38,1.5,CL,Wed Jan 31 19:43:53 2024
264,adam,22.3756,57.5233,21.21,68,67,1.59,OM,Wed Jan 31 19:45:55 2024
265,port alfred,-33.5906,26.891,20.66,96,100,3.27,ZA,Wed Jan 31 19:45:55 2024
266,christchurch,-43.5333,172.6333,23.08,61,40,6.17,NZ,Wed Jan 31 19:45:55 2024
267,tura,25.5198,90.2201,22.75,35,0,0.8,IN,Wed Jan 31 19:45:55 2024
268,'ain el bell,34.3438,3.2247,6.16,64,60,1.23,DZ,Wed Jan 31 19:45:56 2024
